,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
65,Superheroes,No Sound Without Silence,The Script,2014-09-15,245466,76,0.491,0.00219,0.491,0.885,0.0,0.0741,-4.121,0.0395,166.992,4
66,Fresh Roses,Fresh Roses,Juke Ross,2018-06-22,201093,65,0.763,0.65,0.763,0.296,0.0,0.135,-10.611,0.0457,90.959,4
67,Carry on Wayward Son,The Essential Kansas,Kansas,2010,322093,65,0.452,0.00283,0.452,0.788,0.000116,0.441,-5.712,0.0326,126.739,4
68,&Run,"Don't You Worry, Honey",Sir Sly,2017-06-30,226587,60,0.764,0.0203,0.764,0.661,0.000179,0.179,-8.276,0.0526,92.018,4
69,Beautiful Thing,Perfectly Imperfect,Grace VanderWaal,2016-12-02,224880,61,0.502,0.883,0.502,0.156,0.0,0.0864,-9.155,0.0556,164.191,4
70,Clay,Perfectly Imperfect,Grace VanderWaal,2016-12-02,216693,53,0.497,0.862,0.497,0.246,0.0,0.111,-7.435,0.0344,79.095,4
71,If I Get High,Nothing But Thieves (Deluxe),Nothing But Thieves,2015-10-16,206560,57,0.441,0.0104,0.441,0.57,0.0146,0.123,-5.584,0.032,139.876,4
72,American Pie,American Pie,Don McLean,1971,516893,77,0.531,0.699,0.531,0.481,0.0,0.0842,-11.709,0.06,138.45,4
73,Birds,Birds,Kat Cunning,2019-05-17,203962,32,0.546,0.423,0.546,0.407,0.0,0.301,-6.373,0.0394,132.214,4
74,Make U Say,Make U Say,Kat Cunning,2018-04-06,181675,37,0.519,0.584,0.519,0.528,0.00399,0.111,-10.428,0.0454,123.835,4
75,King of Shadow,King of Shadow,Kat Cunning,2019-06-14,196007,37,0.602,0.126,0.602,0.547,0.0,0.174,-8.596,0.0284,116.011,4
76,Hundred,Free Spirit,Khalid,2019-04-05,277080,66,0.772,0.0521,0.772,0.483,0.000375,0.377,-10.06,0.0564,120.005,4
77,Better,Free Spirit,Khalid,2019-04-05,229400,67,0.692,0.0503,0.692,0.552,0.165,0.136,-9.543,0.0497,98.028,4
78,I Need A Doctor,I Need A Doctor,Dr. Dre,2011-02-01,283733,72,0.594,0.0869,0.594,0.946,0.0,0.306,-4.521,0.452,155.826,4
79,What's The Difference,2001,Dr. Dre,1999-11-16,244226,59,0.75,0.25,0.75,0.825,0.0,0.195,-0.15,0.269,92.028,4
80,One Thing Right,One Thing Right,Marshmello,2019-06-21,181823,81,0.659,0.0667,0.659,0.623,0.0,0.582,-2.253,0.0451,88.042,4
81,Jolene,Jolene,Dolly Parton,1974-02-04,161533,75,0.674,0.566,0.674,0.537,0.0,0.131,-10.971,0.0363,110.578,4
82,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,281613,82,0.601,0.432,0.601,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,4
83,Love Comes To Everyone - 2004 Mix,George Harrison,George Harrison,1979-02-20,276213,50,0.716,0.0735,0.716,0.679,0.00106,0.0506,-9.088,0.0406,107.168,4
84,Here You Come Again,Here You Come Again,Dolly Parton,1977-10-03,179491,67,0.529,0.647,0.529,0.511,0.00724,0.0391,-9.37,0.0418,106.491,4
85,Melody,Melody,Lost Frequencies,2018-04-27,149008,53,0.674,0.126,0.674,0.659,0.0,0.455,-8.456,0.048,120.05,4
86,Stranger Things (feat. OneRepublic),Kids in Love,Kygo,2017-11-03,221440,66,0.604,0.234,0.604,0.661,0.0,0.0951,-5.914,0.0375,107.016,4
87,Young Souls,"Dear Misfortune, Mother of Joy - EP",Broken Back,2015-08-06,219373,59,0.702,0.416,0.702,0.606,0.0,0.145,-10.285,0.0443,99.95,4
88,Beautiful Life - Deluxe Mix,Less Is More (Deluxe),Lost Frequencies,2017-07-14,185573,21,0.858,0.0175,0.858,0.529,0.0125,0.128,-8.301,0.0528,124.999,4
89,Truth Never Lies,Truth Never Lies,Lost Frequencies,2019-06-06,191762,16,0.681,0.146,0.681,0.631,0.0,0.186,-8.113,0.0368,119.958,4
90,Cigarettes On Patios,Cigarettes On Patios,BabyJake,2019-06-07,207813,69,0.752,0.256,0.752,0.712,0.0,0.136,-5.467,0.0474,139.999,4
91,Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Various Artists,2019-05-22,208800,75,0.474,0.467,0.474,0.489,0.0,0.119,-7.625,0.0342,124.844,4
92,Moments (feat. Gavin James),Off The Grid,Bliss n Eso,2017-04-28,237613,0,0.632,0.387,0.632,0.724,0.0,0.0991,-7.183,0.326,82.227,4
93,Taxi,Taxi,EXES,2017-12-15,192000,51,0.454,0.0718,0.454,0.483,0.0,0.112,-9.374,0.0882,210.048,4
94,We Are Young,Now That's What I Call Music 2012-13,Various Artists,2012-01-01,237106,32,0.438,0.0305,0.438,0.664,3.42e-05,0.142,-5.291,0.0726,184.555,4
95,God's Plan,Scary Hours,Drake,2018-01-20,198960,4,0.758,0.0309,0.758,0.448,8.67e-05,0.558,-9.441,0.103,77.176,4
96,Molly & Pete,Eurie,Belako,2013-03-06,255986,41,0.523,0.0141,0.523,0.382,0.103,0.0707,-10.226,0.0389,139.935,4
97,Coffee,Coffee,Sylvan Esso,2014-02-11,269693,47,0.457,0.348,0.457,0.455,0.00122,0.142,-8.112,0.188,100.049,4
98,Goodbye Stranger - 2010 Remastered,Breakfast In America (Deluxe Edition),Supertramp,1979-03-29,350573,67,0.42,0.607,0.42,0.668,0.016,0.0585,-7.35,0.0517,125.391,4
99,Crazy,St. Elsewhere,Gnarls Barkley,2006-04-24,177466,79,0.855,0.0505,0.855,0.587,0.00714,0.105,-4.589,0.0336,111.97,4
